F1     ARTUS MAURICE S.A.
F10    NORDVIK S.A.
F100   NOUVELLE PECHE
F101   R.A.R.
F102   SCANDINAVIAN NATURE
F103   BVBA LEVECKE SEAFOODS
F104   VONGOFISH
F105   CANTEROTRADE
F106   MAC CONNEL
F107   FINAFISKEN APS
F108   WINEFISH B.V.
F109   ERRIGAL FISH CO LTD
F11    BEGANTON
F110   FONFISK
F111   KLEIVEN
F112   MOREMAT
F113   CHRISTIANSEN PARTNER
F114   ALLAN ET DEY LTD
F115   WILLIKSEN NILS
F116   ROBINSON FISHERIES
F117   JOHAN J. HELLAND A.S
F118   WHITELINK
F119   KRIFO FISK AS
F12    INTERCARN 2000 S.L.
F120   HARALD MOWINCKEL LTD
F121   JAPOFISH
F122   AALESUNDFISH
F123   PAULUS
F124   LADIMAR PESCADOS
F125   ARNE NIELSEN FISKEEKSPORT
F126   NORDAN AS
F127   FRIGORIFICS ROS SA
F128   TERRA SEAFOOD
F13    FOUCHER MAURY
F139   NEDERLOF
F14    BOUGEANT
F140   VIVIERS DE PLOUHINEC
F15    PORT-MAREE
F150   ROBERT MAREE (SARL)
F16    BILLEN
F160   NOR'OCEANE
F161   ONFROY
F169   LUZ MAREE
F17    SAUMEXTRA
F177   CORMAREE SARL
F179   PECHERIES DE LA BARRE
F18    L'ECREVISSE
F180   SODIMAR S.A.
F181   FILS DE P. ESPOSITO
F19    DESMARES CHRISTOPHE
F190   DELADOIRE
F2     MARINE ESPACE
F20    S E M
F200   CHANGE
F201   AGIOTS
F202   POLE EMPLOI SERVICES
F203   ISICA
F204   REUNICA
F205   TRESOR PUBLIC
F206   AXA COTISATIONS
F207   URSSAF
F208   VEHICULE SOCIETE
F209   ORGANIC RECOUVREMENT
F21    STEPHAN-CLEACH
F210   RUNGIS TECHNOLOGIE
F211   SEMMARIS
F212   A.G.H. AXCO
F213   ABBSYS
F214   CNASEA
F215   FRANCE TELECOM
F216   CONVERCOM
F217   E D F
F218   AGROMER
F219   C I I A
F22    AQUADIS
F220   STERNA
F221   FOURNITURES BUREAU
F222   EDELWEISS
F223   SONO-STAR SARL
F224   SAUMEXTRA
F225   PUB
F226   KNAUF PACK NORD
F227   LA POSTE
F228   A X A ASSURANCE
F229   ALCYON
F23    EDB DISTRIBUTION S.A.S
F230   SOPANO ETIQUETTES
F231   SAGEM
F232   OPTIMITEL
F233   LOCAM SAS
F234   MATMUT
F235   D E B
F236   RUNGIS GLACE
F237   GE CAPITAL
F238   SYNDICAT DES POISSONNIERS
F239   JMC Recouvrement
F24    LEQUERTIER MAREE
F240   BNP
F241   CEGELEC
F242   FOURNITURE-NETTOYANTS
F243   TRANSPORTS
F244   SOCOTEC
F245   PARITEL TELECOM
F246   L.E.B. ELECTRICITE
F247   BARDUSCH BLANCHISSERIE
F248   LEASECOM/TELESURVEILLANCE
F249   SMI-FCI
F25    HALIOTIS
F250   TAXE PROFESSIONNELLE
F251   IMPOTS STE
F252   MEDECINE DU TRAVAIL
F253   TAXE APPRENTISSAGE
F254   OPCAD/DISTRIFAF
F255   SORTIE CAISSE
F256   A C I S T
F257   GENERALI COTISATIONS
F258   UNIMER SAS
F259   CABINET CHATEAU
F26    ETS COFIMA
F260   LAURENT DANIEL
F261   ADLER CADEAUX D'AFFAIRES
F262   SIEMENS
f263   SILLIKER SAS
f264   FENWICK LEASE
f265   APGIS
f266   SICAL
f267   PARFLAM
f268   GENERALI ASSURANCES
F269   DEBUSSCHERE IMPRIMERIE
F27    GALLEN
F270   PECH. GUILVINISTES
F28    DELTA MAREE
F280   R ET A CONCEPT
F281   B F A
F29    CO BO MA
F299   DIVERS
F3     TRUITES DU LEGUER
F30    BREIZ IZEL MAREE
F300   BESNARD
F31    CABON GILLES
F310   RAOUL ET CIE
F32    RENAUD BOUTIN S.A.
F33    MAREE VENDEENNE ST GIL.
F34    CORDOUAN PECHERIE
F340   PECHERIES D'ARMORIQUE
F35    PECHERIES DISTRIBUTION
F350   PECHERIES DE CORNOUAILLE
F351   AR.PE.VIE
F36    PECH. DU GOLFE
F360   FERRIGNO
F37    DEMARNE
F370   D P G R
F373
F38    VIVIERS QUIBRONNAIS
F380   SIROCO IMPORT
F39    PARIS R.G. SAS
F390   ANSEL-MAREE
F4     LE CREN SA
F40    LE GALL Jean-Luc
F41    MOREAU JACQUES
F42    POISSONNERIE OLERONAISE
F43    EDENFISH SARL
F44    G. PRINS
F45    LA MAREE CONCARNOISE
F46    L'ESPADON
F47    ETS HACHE MAREE
F470   COMPTOIR DE LA MAREE
F48    D I M A
F49    SEB MAREE
F490   CLAUDE MAREE
F5     MULLER ET FILS
F50    MAREE DU COTENTIN
F500   PLATINUM SEA FOOD
F501   EPICURE DISTRIBUTION
F51    ETS RAFFIN CLAUDE
F510   SINBAD
F511   GILLES
F512   AMOUROUX SARL
F513   PECUNIA FLOTTE COTIERE
F514   REMOND
F515   RUHLMANN
F516   DACQUET
F52    ERIAU ET FILS
F53    CHRISFISH DANMARK 1 APS
F54    C N E R Conseil et Négoce
F55    BREIZ MOOR
F550   BIGOUDENNE MAREE
F56    CL PRESTATION
F560   BARBA MAREE SA
F57    PECH. DES HAUTES FALAISES
F58    SA JEANNE MAREYAGE
F580   INTER MAREE
F59    JFC RUNGIS
F590   COMPTOIRS OCEANIQUE
F591   COTE OUEST SARL
F6     C.S. MAREE (SARL)
F60    L'ARGONAUTE
F61    LEGOURGEOIS
F62    RIEU PHILIPPE
F620   HIPPOCAMPE SA
F63    PECHERIES ET VIVIERS
F64    HONORE MAREE SARL
F65    PECH. LES BRISANTS
F66    SOMACO
F67    SALMO-BASQUE
F68    PISCICULTURE DE L'EURE
F680   AALESUNDFISH
F69    WEST FISH FRANCE
F7     FISHIMPORT SARL
F70    J'OCEANE
F700   FRIME, S.A.
F71    ICELAND SEAFOOD France
F710   SPS MAREE
F711   MARLIN MALIN
F72    ELAFOOD SARL
F720   ROYAL FOOD PRODUCTS
F721   NARBO MAREE
F722   AZAIS JR MAREE SARL
F73    MATHERAT
F74    MEDI PECHE
F744   P.R.M.
F75    FORO MAREE
F750   VIVIERS DE ST SULIAC
F76    PRILAM S A S
F77    CRENO IMPEX SAS
F78    VIVIERS DE LOCTUDY
F79    UNION MAREE
F790   CHAUVIN-EXPORT
F791   MANZETTI
F8     AUVERGNE MAREE SAS
F80    BASSEZ ET CIE SARL
F81    NLLES PECH ARMORICAINES
F82    PECHE COTIERE
F83    PECHERIES DOUARNENISTES
F84    BRETAGNE OCEAN
F840   ACOMAR MAREE
F85    FURIC
F86    EARL PERRON
F860
F87    REYNAUD
F870   BLANC S.A
F88    PECHEURS BRETONS
F89    L'ESCARGOT PARISIEN
F9     MARINE
F90    L'ESTRAN SARL
F91    MAREE VENDEENNE CONCARN.
F910   FRAICHEUR BREHALAISE
F912   OKEANOS
F914
F92    VIVIERS DE PORSGUEN
F920   AUDIERNE MAREE
F93    VAG MER SARL
F94    CONTINENTAL SEAFOOD
F943.
F95    AQUA NORD
F950   VIVIERS DE BRETAGNE
F96    ETS. L. PEAN
F960   VIVIERS DE BASSINIC
F97    MAREE PHOCEENNE
F970   POISSONNERIE LAURENT
F98    AIGUE MARINE
F99    DIVERS FOURNISSEURS
 
